Source,Target,Type,Id,Label,timeset,Weight
WarReporter1,AbuToyota,Undirected,1,,,1
Scholarsofhaq75,Alwala_bara,Undirected,2,,,1
business,NaseemAhmed50,Undirected,3,,,1
arabthomness,abdlrhmn15,Undirected,4,,,3
the_topspin,_IshfaqAhmad,Undirected,5,,,1
us_navyseals,MaghrabiArabi,Undirected,6,,,1
Usood_Ul_Qitaal,432Mryam,Undirected,7,,,1
__alfresco__,Luxfero_99,Undirected,8,,,1
Uncle_SamCoco,Ous_Qopar,Undirected,9,,,1
Uncle_SamCoco,GabrielElmurz,Undirected,10,,,1
mustaklash,FidaeeFulaani,Undirected,11,,,1
saqrqurays,Witness_alHaqq,Undirected,12,,,2
mobi_ayubi,lion_faisal,Undirected,13,,,2
anti_druz,abutariq041,Undirected,14,,,1
murasil1,alwasatengnews,Undirected,15,,,1
NusantarWitness,Abu_Azzzam25,Undirected,16,,,1
A7706244780A,432Mryam,Undirected,17,,,1
abuayisha108,NusantarWitness,Undirected,18,,,1
warrnews,Iman84NL,Undirected,19,,,1
TheArabSource,MaghrabiArabi,Undirected,20,,,1
abuhanzalah10,HK2307,Undirected,21,,,1
_Qariban,Uncle_SamCoco,Undirected,22,,,5
Jihad67a,Bajwa47online,Undirected,23,,,2
ramiallolah,WarReporter1,Undirected,24,,,2
moustiklash,daily_dispatch_,Undirected,25,,,1
thefIamesofhaqq,AmbassadorPower,Undirected,26,,,1
cand_i1,WarReporter1,Undirected,27,,,1
abuhumayra4,LoveShaykhAhmad,Undirected,28,,,3
majertenyyyi,CXaafada2,Undirected,29,,,1
hafsalionne1,alamreeki4,Undirected,30,,,1
abdelovitch,Uncle_SamCoco,Undirected,31,,,1
aaai1959,432Mryam,Undirected,32,,,1
Uncle_SamCoco,Mikamiles94,Undirected,33,,,3
faisalaljamayki,IbnKashmir_,Undirected,34,,,1
abu_ibrahim32,abdlrhmn15,Undirected,35,,,1
BilalIbnRabah1,AJEnglish,Undirected,36,,,1
WhiteCat_7,ProJ32,Undirected,37,,,11
thefIamesofhaqq,hjr_jhd_17,Undirected,38,,,3
twdwln,murasil1,Undirected,39,,,8
Hubal_imara,CXaafada2,Undirected,40,,,1
moonnor27,DawlaWitness11,Undirected,41,,,1
WarReporter1,Free_lance_jour,Undirected,42,,,3
WilayatBarqah1,Alwala_bara,Undirected,43,,,1
sonofshishan,RamiAlLolah,Undirected,44,,,1
mobi_ayubi,Free_lance_jour,Undirected,45,,,10
NaseemAhmed50,Abduhark,Undirected,46,,,5
IbnKashmir_,Altarefe_En,Undirected,47,,,1
kufr_bit_tagoot,abuayisha108,Undirected,48,,,1
Uncle_SamCoco,CorineRouffi,Undirected,49,,,1
WilayahNajd,Jazrawi_Saraqib,Undirected,50,,,1
ajmubasher,Uncle_SamCoco,Undirected,51,,,1
thefIamesofhaqq,nasertamimi,Undirected,52,,,1
MaghrabiArabi,IBTimesUK,Undirected,53,,,1
RosannaMrtnz,MaghrabiArabi,Undirected,54,,,5
warrnews,NusantarWitness,Undirected,55,,,2
janatulnaeem22,Jazrawi_Saraqib,Undirected,56,,,1
gnd_aqsa___,MaghrebiWM,Undirected,57,,,2
ro34th,ItSweetsofdabiq,Undirected,58,,,1
klakishinki,BeeManbee10,Undirected,59,,,1
sharia4k,_IshfaqAhmad,Undirected,60,,,3
ProJ_000,IbnKashmir_,Undirected,61,,,1
wayf44rerr,djamel_mazi,Undirected,62,,,1
thefIamesofhaqq,__alfresco__,Undirected,63,,,3
Nidalgazaui,AJENews,Undirected,64,,,1
st3erer,OumDujana,Undirected,65,,,2
melvynlion,islamicStrength,Undirected,66,,,1
ye_wenjie,Uncle_SamCoco,Undirected,67,,,1
wayf44rerr,El_Maghrebi,Undirected,68,,,2
leithfadel,Jazrawi_Joulan,Undirected,69,,,2
ndtv,NaseemAhmed50,Undirected,70,,,1
nvor85j,BAQIAFAMILY_299,Undirected,71,,,2
sparksofirhabi4,Abu_Azzzam25,Undirected,72,,,1
malle111elf,MaghrabiArabi,Undirected,73,,,2
mobi_ayubi,Sabiq_KDR,Undirected,74,,,1
HafydaAldawla,Dieinurage308,Undirected,75,,,2
Sakker__,Jazrawi_Joulan,Undirected,76,,,1
mobi_ayubi,7layers_,Undirected,77,,,6
IbnKashmir_,EPlC24,Undirected,78,,,2
support,Suspend_Me_fags,Undirected,79,,,1
khalidgajanfar,ismailmahsud,Undirected,80,,,1
war_analysis,ecentauri,Undirected,81,,,1
ismailmahsud,RamiAlLolah,Undirected,82,,,7
lNSlDEWAR,BarzanSadiq,Undirected,83,,,2
wayf44rerr,umm_of,Undirected,84,,,2
sakirkhader,melvynlion,Undirected,85,,,1
Uncle_SamCoco,MilitaryTimes,Undirected,86,,,2
warrnews,SimNasr,Undirected,87,,,1
Uncle_SamCoco,JohnKerry,Undirected,88,,,1
RamiAlLolah,BakrQ,Undirected,89,,,1
warreporter2,thevictoryseri4,Undirected,90,,,30
nextBEE23,NaseemAhmed50,Undirected,91,,,1
melvynlion,TRACterrorism,Undirected,92,,,1
ro34th,hxhassan,Undirected,93,,,1
ui9rr,Uncle_SamCoco,Undirected,94,,,2
baaqiya_01,_AtTaubah3839,Undirected,95,,,1
fidaee_fulaani,Fidaee_Fulaani,Undirected,96,,,1
alamreeki4,Jewtastic,Undirected,97,,,1
Uncle_SamCoco,Jerusalem_Post,Undirected,98,,,2
RamiAlLolah,MastaKace,Undirected,99,,,1
saj_pakpassion,_IshfaqAhmad,Undirected,100,,,3
muhajirah_anbar,IbnKashmir_,Undirected,101,,,5
melvynlion,aapatel947,Undirected,102,,,1
pieternanninga,JohnsonsBot,Undirected,103,,,2
__alfresco__,Adxm82,Undirected,104,,,3
Uncle_SamCoco,Stranger__Akh,Undirected,105,,,2
abdulmatin_xx7,EPlC24,Undirected,106,,,1
intlspectator,Uncle_SamCoco,Undirected,107,,,1
Uncle_SamCoco,Tom_Antonov,Undirected,108,,,1
abutariq040,SandKhilafah,Undirected,109,,,1
Nidalgazaui,Joo_Gaza,Undirected,110,,,1
QassamiMarwan,Bringerpeace,Undirected,111,,,1
abuhumayra4,TRefugees4,Undirected,112,,,1
safiyaimback,Sheikh_AJ_Quote,Undirected,113,,,1
WarfareWW,RamiAlLolah,Undirected,114,,,1
Uncle_SamCoco,AbuMusab_110,Undirected,115,,,2
Uncle_SamCoco,68tardPourTous,Undirected,116,,,12
abuhanzalah10,AbuHanzalah2,Undirected,117,,,1
itele,Uncle_SamCoco,Undirected,118,,,1
