Id,Label,timeset,frequency,type,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,componentnumber,clustering,triangles,eigencentrality
Alamet0,Alamet0,,1,Mentions,1,1,6,0.293663,0.308991,0,0,0,0,0,0.016358
BBC,BBC,,1,Mentions,1,1,6,0.255068,0.263232,0,8,0,0,0,0.002929
BinAmhdAbdILlAh,BinAmhdAbdILlAh,,2,Mentions,1,2,6,0.310938,0.332784,0,15,0,0,0,0.03032
real_kashmiri,real_kashmiri,,2,Mentions,1,2,6,0.269112,0.280749,0,17,0,0,0,0.008397
Ratman198556Www,Ratman198556Www,,5,Mentions,1,5,6,0.319896,0.332971,0,0,0,0,0,0.017014
IslamicEyes,IslamicEyes,,1,Mentions,1,1,7,0.238504,0.244721,0,19,0,0,0,0.002071
gfxgfxgfxgfx,gfxgfxgfxgfx,,1,Mentions,1,1,6,0.319896,0.332971,0,0,0,0,0,0.017014
saqrqurays,saqrqurays,,2,Mentions,1,2,7,0.254715,0.262189,0,22,0,0,0,0.002259
Abu_Air_Craft1,Abu_Air_Craft1,,1,Mentions,1,1,6,0.285505,0.296988,0,6,0,0,0,0.008453
metesohtaoglu,metesohtaoglu,,10,Mentions,4,10,6,0.329976,0.355445,0.000058,0,0,0.833333,5,0.0568
Ald_Aba,Ald_Aba,,3,Mentions,3,3,6,0.314783,0.333857,0.000124,16,0,0.333333,1,0.030684
ferdddaws,ferdddaws,,1,Mentions,1,1,6,0.272952,0.282482,0,19,0,0,0,0.003779
hani19800,hani19800,,1,Mentions,1,1,6,0.272907,0.282135,0,3,0,0,0,0.004417
Tawheed4all,Tawheed4all,,13,Mentions,5,13,6,0.308647,0.328402,0.000734,3,0,0.1,1,0.032559
jailamx,jailamx,,17,Mentions,1,17,7,0.259631,0.26849,0,11,0,0,0,0.003557
AyseAysedincer8,AyseAysedincer8,,2,Mentions,1,2,7,0.268544,0.281999,0,3,0,0,0,0.006849
BadBoyTerrorist,BadBoyTerrorist,,2,Mentions,2,2,6,0.329943,0.353903,0,18,0,1,1,0.046886
islamca8,islamca8,,1,Mentions,1,1,8,0.233192,0.240544,0,9,0,0,0,0.001783
Anak_Sabil10,Anak_Sabil10,,2,Mentions,2,2,6,0.267437,0.276922,0,21,0,1,1,0.006128
brandanrey,brandanrey,,1,Mentions,1,1,6,0.293663,0.308991,0,0,0,0,0,0.016358
Bnt167Roses,Bnt167Roses,,1,Mentions,1,1,7,0.255363,0.263025,0,17,0,0,0,0.002545
DefenseUnits,DefenseUnits,,2,Mentions,1,2,6,0.319896,0.332971,0,0,0,0,0,0.017014
IshaaqNewton,IshaaqNewton,,4,Mentions,2,4,6,0.288718,0.304996,0.00094,9,0,0,0,0.014196
pavilionopinion,pavilionopinion,,1,Mentions,1,1,6,0.269112,0.280749,0,17,0,0,0,0.008397
golkane,golkane,,5,Mentions,1,5,6,0.310938,0.332784,0,15,0,0,0,0.03032
ShamiBr,ShamiBr,,1,Mentions,1,1,6,0.252249,0.259283,0,0,0,0,0,0.003166
H,H,,2,Mentions,1,2,8,0.201461,0.206781,0,22,0,0,0,0.000864
murphy7087,murphy7087,,2,Mentions,1,2,6,0.319896,0.332971,0,0,0,0,0,0.017014
bintemergent,bintemergent,,1,Mentions,1,1,7,0.251215,0.257983,0,12,0,0,0,0.003047
TheStudyofWar,TheStudyofWar,,8,Mentions,3,8,6,0.294003,0.310295,0.000194,16,0,0.333333,1,0.018061
shamr_aziz,shamr_aziz,,1,Mentions,1,1,7,0.268544,0.281999,0,3,0,0,0,0.006849
Q,Q,,1,Mentions,1,1,8,0.201461,0.206781,0,22,0,0,0,0.000864
MF553klashi,MF553klashi,,1,Mentions,1,1,6,0.284401,0.299239,0,16,0,0,0,0.012414
Bringerpeace,Bringerpeace,,3,Mentions,3,3,6,0.317319,0.332039,0.000418,8,0,0,0,0.022188
samzmer,samzmer,,2,Mentions,1,2,6,0.300709,0.313907,0,2,0,0,0,0.013709
DeutscheWelle,DeutscheWelle,,1,Mentions,1,1,6,0.310938,0.332784,0,15,0,0,0,0.03032
LibyasChannel,LibyasChannel,,1,Mentions,1,1,6,0.293663,0.308991,0,0,0,0,0,0.016358
aaaamjaat,aaaamjaat,,1,Mentions,1,1,7,0.230336,0.237878,0,3,0,0,0,0.001041
HKX07,HKX07,,9,Mentions,5,9,6,0.319803,0.339453,0.000097,0,0,0.4,4,0.046791
warreporter2,warreporter2,,190,; User,44,190,6,0.32717,0.345205,0.030891,4,0,0.001057,1,0.048274
KatieLobosco,KatieLobosco,,1,Mentions,1,1,7,0.243703,0.249728,0,0,0,0,0,0.001075
EjmAlrai,EjmAlrai,,11,Mentions,5,11,6,0.326267,0.353702,0.001797,6,0,0.2,2,0.053443
eddie1971nyc,eddie1971nyc,,4,Mentions,3,4,6,0.320143,0.344228,0.000169,12,0,0.333333,1,0.041821
YusuF_70312252,YusuF_70312252,,1,Mentions,1,1,6,0.319896,0.332971,0,0,0,0,0,0.017014
